电影排名,电影名称,电影评分,评论人数,短评
136,怪兽电力公司,8.7,411943,不要给它起名字，起了名字就有感情了。
137,玩具总动员3,8.8,319233,跨度十五年的欢乐与泪水。
138,血战钢锯岭,8.7,530898,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
139,电锯惊魂,8.7,325462,真相就在眼前。
140,完美的世界,9.1,150282,坏人的好总是比好人的好来得更感人。
141,喜宴,8.9,220724,中国家庭的喜怒哀乐忍。
142,岁月神偷,8.7,427709,岁月流逝，来日可追。
143,时空恋旅人,8.7,347565,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
144,傲慢与偏见,8.6,484692,爱是摈弃傲慢与偏见之后的曙光。
145,谍影重重3,8.8,283662,像吃了苏打饼一样干脆的电影。
146,七武士,9.2,122834,时代悲歌。
147,英雄本色,8.7,318238,英雄泪短，兄弟情长。 
148,教父3,8.9,220330,任何信念的力量，都无法改变命运。
149,疯狂原始人,8.7,572815,老少皆宜，这就是好莱坞动画的魅力。
150,真爱至上,8.6,483514,爱，是个动词。
151,被解救的姜戈,8.7,401788,热血沸腾，那个低俗、性感的无耻混蛋又来了。
152,萤火虫之墓,8.7,297663,幸福是生生不息，却难以触及的远。 
153,东邪西毒,8.6,400997,电影诗。
154,心迷宫,8.7,313634,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
155,三块广告牌,8.7,556042,怼天怼地，你走后，她与世界为敌。
156,爆裂鼓手,8.7,361643,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
157,纵横四海,8.8,258558,香港浪漫主义警匪动作片的巅峰之作。
158,记忆碎片,8.6,408353,一个针管引发的血案。
159,贫民窟的百万富翁,8.6,532844,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
160,哪吒闹海,9.0,154362,想你时你在闹海。
161,黑天鹅,8.6,595096,黑暗之美。
162,达拉斯买家俱乐部,8.8,295009,Jared Leto的腿比女人还美！
163,荒蛮故事,8.8,260638,始于荒诞，止于更荒诞。
164,我是山姆,8.9,185865,爱并不需要智商 。
165,花样年华,8.6,372313,偷情本没有这样美。
166,你的名字。,8.4,877677,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
167,功夫,8.5,570505,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
168,天书奇谭,9.2,118275,传奇的年代，醉人的童话。
169,头号玩家,8.7,930733,写给影迷，动漫迷和游戏迷的一封情书。
170,卢旺达饭店,8.9,183326,当这个世界闭上双眼，他却敞开了怀抱。
171,雨人,8.7,289429,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
172,头脑特工队,8.7,381230,愿我们都不用长大，每一座城堡都能永远存在。
173,忠犬八公物语,9.1,115171,养狗三日，便会对你终其一生。
174,一个叫欧维的男人决定去死,8.8,229163,惠及一生的美丽。
175,模仿游戏,8.7,394823,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
176,你看起来好像很好吃,8.9,224792,感情不分食草或者食肉。
177,无敌破坏王,8.7,345635,迪士尼和皮克斯拿错剧本的产物。
178,未麻的部屋,8.9,169072,好的剧本是，就算你猜到了结局也猜不到全部。
179,海边的曼彻斯特,8.6,325863,我们都有权利不与自己的过去和解。
180,冰川时代,8.5,419363,松鼠才是角儿。
181,恋恋笔记本,8.5,427662,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
182,黑客帝国3：矩阵革命,8.7,263747,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
183,二十二,8.7,193856,有一些东西不应该被遗忘。
184,虎口脱险,8.9,155266,永远看不腻的喜剧。
185,釜山行,8.5,681912,揭露人性的丧尸题材力作。
186,雨中曲,9.0,137381,骨灰级歌舞片。
187,海街日记,8.7,246592,是枝裕和的家庭习作。
188,人生果实,9.5,65398,土壤没有落叶不会肥沃，没有了你就不算人生。
189,房间,8.8,257510,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
190,人工智能,8.6,286885,对爱的执着，可以超越一切。
191,恐怖游轮,8.4,513628,不要企图在重复中寻找已经失去的爱。
192,魔女宅急便,8.6,308185,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
193,海洋,9.1,123012,大海啊，不全是水。
194,惊魂记,8.9,146929,故事的反转与反转，分裂电影的始祖。
195,燃情岁月,8.8,200788,传奇，不是每个人都可以拥有。
196,罗生门,8.8,199112,人生的N种可能性。
197,穿越时空的少女,8.6,275205,爱上未来的你。 
198,疯狂的石头,8.4,516713,中国版《两杆大烟枪》。
199,魂断蓝桥,8.8,181246,中国式内在的美国电影。
200,新世界,8.8,191564,要做就做得狠一点，这样才能活下去。
201,哈利·波特与阿兹卡班的囚徒,8.6,327841,不一样的导演，不一样的哈利·波特。
202,奇迹男孩,8.6,372282,世界不完美，爱会有奇迹。
203,终结者2：审判日,8.7,229126,少见的超越首部的续集，动作片中的经典。
204,完美陌生人,8.5,369304,来啊，互相伤害啊！
205,可可西里,8.8,191064,坚硬的信仰。
206,初恋这件小事,8.4,701663,黑小鸭速效美白记。
207,阿飞正传,8.5,327410,王家卫是一种风格，张国荣是一个代表。
208,爱在午夜降临前,8.8,194719,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
209,牯岭街少年杀人事件,8.8,167310,弱者送给弱者的一刀。
210,哈利·波特与密室,8.5,346099,魔法的密室之门已打开...
211,猜火车,8.5,324401,不可猜的青春迷笛。 
212,2001太空漫游,8.8,179210,现代科幻电影的开山之作，最伟大导演的最伟大影片。
213,香水,8.5,392945,一个单凭体香达到高潮的男人。
214,谍影重重2,8.6,240779,谁说王家卫镜头很晃？
