['色，戒', '236', '8.4', '424688', '假戏真情，爱欲深海']
['遗愿清单', '237', '8.6', '225358', '用剩余不多的时间，去燃烧整个生命。']
['大佛普拉斯', '238', '8.7', '231696', '人们可以登上月球，却永远无法探索人们内心的宇宙。']
['聚焦', '239', '8.8', '190700', '新闻人的理性求真。']
['驴得水', '240', '8.3', '589748', '过去的如果就让它过去了，未来只会越来越糟！']
['发条橙', '241', '8.5', '263605', '我完全康复了。']
['撞车', '242', '8.6', '236506', '天使与魔鬼的冲撞。']
['黑鹰坠落', '243', '8.7', '190710', '还原真实而残酷的战争。']
['梦之安魂曲', '244', '8.7', '155323', '一场没有春天的噩梦。']
['我爱你', '245', '9.0', '96992', '你要相信，这世上真的有爱存在，不管在什么年纪 ']
['E.T. 外星人', '246', '8.6', '235670', '生病的E.T.皮肤的颜色就像柿子饼。']
['千钧一发', '247', '8.8', '152278', '一部能引人思考的科幻励志片。']
['变脸', '248', '8.5', '297620', '当发哥的风衣、墨镜出现在了凯奇身上⋯⋯']
['末路狂花', '249', '8.8', '151574', '没有了退路，只好飞向自由。']
['四个春天', '250', '8.9', '103032', '来也匆匆去也匆匆，就这样风雨兼程。']
