title,rank,star,quote,comment
心灵捕手,83,8.9,人生中应该拥有这样的一段豁然开朗。,452691
禁闭岛,84,8.8,昔日翩翩少年，今日大腹便便。,604597
布达佩斯大饭店,85,8.8,小清新的故事里注入了大历史的情怀。,568219
勇敢的心,86,8.9,史诗大片的典范。,419148
剪刀手爱德华,87,8.7,浪漫忧郁的成人童话。,742668
天使爱美丽,88,8.7,法式小清新。 ,716700
阿凡达,89,8.7,绝对意义上的美轮美奂。,877674
摩登时代,90,9.3,大时代中的人生，小人物的悲喜。,176472
加勒比海盗,91,8.7,约翰尼·德普的独角戏。,579514
致命ID,92,8.8,最不可能的那个人永远是最可能的。,507085
海蒂和爷爷,93,9.2,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,198623
断背山,94,8.8,每个人心中都有一座断背山。,495397
喜剧之王,95,8.7,我是一个演员。,594343
幽灵公主,96,8.9,人与自然的战争史诗。,364562
入殓师,97,8.8,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,427764
绿皮书,98,8.9,去除成见，需要勇气。,930709
阳光灿烂的日子,99,8.8,一场华丽的意淫。,417392
狩猎,100,9.1,人言可畏。,222154
重庆森林,101,8.7,寂寞没有期限。,523001
第六感,102,8.9,深入内心的恐怖，出人意料的结局。,358793
杀人回忆,103,8.8,关于连环杀人悬案的集体回忆。,399292
小森林 夏秋篇,104,9.0,那些静得只能听见呼吸的日子里，你明白孤独即生活。,261310
请以你的名字呼唤我,105,8.9,沉醉在电影的情感和视听氛围中无法自拔。,385057
消失的爱人,106,8.7,年度最佳date movie。,587229
玛丽和马克思,107,8.9,你是我最好的朋友，你是我唯一的朋友 。,312063
告白,108,8.7,没有一人完全善，也没有一人完全恶。,506806
红辣椒,109,9.0,梦的勾结。,245590
爱在黎明破晓前,110,8.8,缘分是个连绵词，最美不过一瞬。,372940
一一,111,9.0,我们都曾经是一一。,230976
哈利·波特与死亡圣器(下),112,8.8,10年的完美句点。,469219
7号房的礼物,113,8.9,《我是山姆》的《美丽人生》。,322676
大鱼,114,8.8,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,384610
侧耳倾听,115,8.9,少女情怀总是诗。,291330
阳光姐妹淘,116,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,418708
射雕英雄传之东成西就,117,8.7,百看不厌。 ,426359
小森林 冬春篇,118,9.0,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,228902
超脱,119,8.9,穷尽一生，我们要学会的，不过是彼此拥抱。,294447
甜蜜蜜,120,8.8,相逢只要一瞬间，等待却像是一辈子。,338088
蝙蝠侠：黑暗骑士崛起,121,8.7,诺兰就是保证。,468631
倩女幽魂,122,8.7,两张绝世的脸。 ,454809
驯龙高手,123,8.7,和谐的生活离不开摸头与被摸头。,493987
唐伯虎点秋香,124,8.6,华太师是黄霑，吴镇宇四大才子之一。,637163
菊次郎的夏天,125,8.8,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,326320
萤火之森,126,8.8,触不到的恋人。,306848
恐怖直播,127,8.8,恐怖分子的“秋菊打官司”。,398562
爱在日落黄昏时,128,8.8,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,321925
幸福终点站,129,8.8,有时候幸福需要等一等。 ,347915
超能陆战队,130,8.7,Balalala~~~,637142
借东西的小人阿莉埃蒂,131,8.8,曾经的那段美好会沉淀为一辈子的记忆。,345585
无人知晓,132,9.1,我的平常生活就是他人的幸福。,163007
风之谷,133,8.9,动画片的圣经。,263702
神偷奶爸,134,8.6,Mr. I Don't Care其实也有Care的时候。,641379
上帝之城,135,8.9,被上帝抛弃了的上帝之城。,216018
怪兽电力公司,136,8.7,不要给它起名字，起了名字就有感情了。,411943
玩具总动员3,137,8.8,跨度十五年的欢乐与泪水。,319233
血战钢锯岭,138,8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,530898
电锯惊魂,139,8.7,真相就在眼前。,325670
完美的世界,140,9.1,坏人的好总是比好人的好来得更感人。,150282
喜宴,141,8.9,中国家庭的喜怒哀乐忍。,220724
岁月神偷,142,8.7,岁月流逝，来日可追。,427709
时空恋旅人,143,8.7,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,347565
傲慢与偏见,144,8.6,爱是摈弃傲慢与偏见之后的曙光。,484692
谍影重重3,145,8.8,像吃了苏打饼一样干脆的电影。,283662
七武士,146,9.2,时代悲歌。,122834
英雄本色,147,8.7,英雄泪短，兄弟情长。 ,318238
教父3,148,8.9,任何信念的力量，都无法改变命运。,220330
疯狂原始人,149,8.7,老少皆宜，这就是好莱坞动画的魅力。,572815
真爱至上,150,8.6,爱，是个动词。,483514
被解救的姜戈,151,8.7,热血沸腾，那个低俗、性感的无耻混蛋又来了。,401788
萤火虫之墓,152,8.7,幸福是生生不息，却难以触及的远。 ,297663
东邪西毒,153,8.6,电影诗。,400997
心迷宫,154,8.7,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,313634
三块广告牌,155,8.7,怼天怼地，你走后，她与世界为敌。,556042
爆裂鼓手,156,8.7,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,361643
纵横四海,157,8.8,香港浪漫主义警匪动作片的巅峰之作。,258558
记忆碎片,158,8.6,一个针管引发的血案。,408580
贫民窟的百万富翁,159,8.6,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,532844
哪吒闹海,160,9.0,想你时你在闹海。,154362
黑天鹅,161,8.6,黑暗之美。,595096
达拉斯买家俱乐部,162,8.8,Jared Leto的腿比女人还美！,295009
荒蛮故事,163,8.8,始于荒诞，止于更荒诞。,260638
我是山姆,164,8.9,爱并不需要智商 。,185865
花样年华,165,8.6,偷情本没有这样美。,372313
你的名字。,166,8.4,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,877677
功夫,167,8.5,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,570505
天书奇谭,168,9.2,传奇的年代，醉人的童话。,118275
头号玩家,169,8.7,写给影迷，动漫迷和游戏迷的一封情书。,930733
卢旺达饭店,170,8.9,当这个世界闭上双眼，他却敞开了怀抱。,183326
雨人,171,8.7,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,289429
头脑特工队,172,8.7,愿我们都不用长大，每一座城堡都能永远存在。,381230
忠犬八公物语,173,9.1,养狗三日，便会对你终其一生。,115171
一个叫欧维的男人决定去死,174,8.8,惠及一生的美丽。,229163
模仿游戏,175,8.7,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,394823
你看起来好像很好吃,176,8.9,感情不分食草或者食肉。,224792
无敌破坏王,177,8.7,迪士尼和皮克斯拿错剧本的产物。,345635
未麻的部屋,178,8.9,好的剧本是，就算你猜到了结局也猜不到全部。,169072
海边的曼彻斯特,179,8.6,我们都有权利不与自己的过去和解。,325863
冰川时代,180,8.5,松鼠才是角儿。,419363
恋恋笔记本,181,8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,427662
黑客帝国3：矩阵革命,182,8.7,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,263747
二十二,183,8.7,有一些东西不应该被遗忘。,193856
虎口脱险,184,8.9,永远看不腻的喜剧。,155266
釜山行,185,8.5,揭露人性的丧尸题材力作。,682739
雨中曲,186,9.0,骨灰级歌舞片。,137381
海街日记,187,8.7,是枝裕和的家庭习作。,246592
人生果实,188,9.5,土壤没有落叶不会肥沃，没有了你就不算人生。,65398
房间,189,8.8,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,257510
人工智能,190,8.6,对爱的执着，可以超越一切。,286885
恐怖游轮,191,8.4,不要企图在重复中寻找已经失去的爱。,513628
